C1;H1;L1;C1;V1;O2;H2;L2;C2;V2;O3;H3;L3;C3;V3;O4;H4;L4;C4;V4;Final
4261.48;4485.39;4200.74;4285.08;795.150377;4285.08;4371.52;3938.77;4108.37;1199.888264;4108.37;4184.69;3850;4139.98;381.309763;4120.98;4211.08;4032.62;4086.29;467.083022;FALSE
4285.08;4371.52;3938.77;4108.37;1199.888264;4108.37;4184.69;3850;4139.98;381.309763;4120.98;4211.08;4032.62;4086.29;467.083022;4069.13;4119.62;3911.79;4016;691.74306;TRUE
4108.37;4184.69;3850;4139.98;381.309763;4120.98;4211.08;4032.62;4086.29;467.083022;4069.13;4119.62;3911.79;4016;691.74306;4016;4104.82;3400;4040;966.684858;TRUE
4120.98;4211.08;4032.62;4086.29;467.083022;4069.13;4119.62;3911.79;4016;691.74306;4016;4104.82;3400;4040;966.684858;4040;4265.8;4013.89;4114.01;1001.136565;TRUE
4069.13;4119.62;3911.79;4016;691.74306;4016;4104.82;3400;4040;966.684858;4040;4265.8;4013.89;4114.01;1001.136565;4147;4371.68;4085.01;4316.01;787.418753;FALSE
4016;4104.82;3400;4040;966.684858;4040;4265.8;4013.89;4114.01;1001.136565;4147;4371.68;4085.01;4316.01;787.418753;4316.01;4453.91;4247.48;4280.68;573.61274;TRUE
4040;4265.8;4013.89;4114.01;1001.136565;4147;4371.68;4085.01;4316.01;787.418753;4316.01;4453.91;4247.48;4280.68;573.61274;4280.71;4367;4212.41;4337.44;228.108068;FALSE
4147;4371.68;4085.01;4316.01;787.418753;4316.01;4453.91;4247.48;4280.68;573.61274;4280.71;4367;4212.41;4337.44;228.108068;4332.51;4400;4285.54;4310.01;350.692585;TRUE
4316.01;4453.91;4247.48;4280.68;573.61274;4280.71;4367;4212.41;4337.44;228.108068;4332.51;4400;4285.54;4310.01;350.692585;4310.01;4399.82;4124.54;4386.69;603.841616;TRUE
4280.71;4367;4212.41;4337.44;228.108068;4332.51;4400;4285.54;4310.01;350.692585;4310.01;4399.82;4124.54;4386.69;603.841616;4353.65;4625.85;4313.55;4587.48;603.545028;FALSE
4332.51;4400;4285.54;4310.01;350.692585;4310.01;4399.82;4124.54;4386.69;603.841616;4353.65;4625.85;4313.55;4587.48;603.545028;4564.52;4647.51;4416.01;4555.14;808.468771;TRUE
4310.01;4399.82;4124.54;4386.69;603.841616;4353.65;4625.85;4313.55;4587.48;603.545028;4564.52;4647.51;4416.01;4555.14;808.468771;4555.14;4745.42;4555.14;4724.89;556.956802;TRUE
4353.65;4625.85;4313.55;4587.48;603.545028;4564.52;4647.51;4416.01;4555.14;808.468771;4555.14;4745.42;4555.14;4724.89;556.956802;4689.89;4885.55;4654.88;4834.91;560.666366;FALSE
4564.52;4647.51;4416.01;4555.14;808.468771;4555.14;4745.42;4555.14;4724.89;556.956802;4689.89;4885.55;4654.88;4834.91;560.666366;4796.16;4939.19;4286.87;4472.14;929.148595;TRUE
4555.14;4745.42;4555.14;4724.89;556.956802;4689.89;4885.55;4654.88;4834.91;560.666366;4796.16;4939.19;4286.87;4472.14;929.148595;4508.5;4714.76;4298.33;4509.08;691.216198;FALSE
4689.89;4885.55;4654.88;4834.91;560.666366;4796.16;4939.19;4286.87;4472.14;929.148595;4508.5;4714.76;4298.33;4509.08;691.216198;4505;4527.49;3972.51;4100.11;1394.644614;TRUE
4796.16;4939.19;4286.87;4472.14;929.148595;4508.5;4714.76;4298.33;4509.08;691.216198;4505;4527.49;3972.51;4100.11;1394.644614;4106.97;4484.99;3603;4366.47;1228.938157;TRUE
4508.5;4714.76;4298.33;4509.08;691.216198;4505;4527.49;3972.51;4100.11;1394.644614;4106.97;4484.99;3603;4366.47;1228.938157;4366.49;4662.87;4335.26;4619.77;807.363726;TRUE
4505;4527.49;3972.51;4100.11;1394.644614;4106.97;4484.99;3603;4366.47;1228.938157;4366.49;4662.87;4335.26;4619.77;807.363726;4619.77;4788.59;4438.19;4691.61;500.429975;FALSE
4106.97;4484.99;3603;4366.47;1228.938157;4366.49;4662.87;4335.26;4619.77;807.363726;4619.77;4788.59;4438.19;4691.61;500.429975;4691.66;4735.39;4028.93;4282.8;1132.255046;FALSE
4366.49;4662.87;4335.26;4619.77;807.363726;4619.77;4788.59;4438.19;4691.61;500.429975;4691.66;4735.39;4028.93;4282.8;1132.255046;4282.8;4426.62;4150.06;4258.81;658.782952;FALSE
4619.77;4788.59;4438.19;4691.61;500.429975;4691.66;4735.39;4028.93;4282.8;1132.255046;4282.8;4426.62;4150.06;4258.81;658.782952;4258.81;4283;3801;4130.37;660.373275;TRUE
4691.66;4735.39;4028.93;4282.8;1132.255046;4282.8;4426.62;4150.06;4258.81;658.782952;4258.81;4283;3801;4130.37;660.373275;4153.62;4334.43;4098.91;4208.47;699.989065;FALSE
4282.8;4426.62;4150.06;4258.81;658.782952;4258.81;4283;3801;4130.37;660.373275;4153.62;4334.43;4098.91;4208.47;699.989065;4208.6;4394.59;4040.8;4163.72;879.630319;FALSE
4258.81;4283;3801;4130.37;660.373275;4153.62;4334.43;4098.91;4208.47;699.989065;4208.6;4394.59;4040.8;4163.72;879.630319;4159.72;4165.38;3760;3944.69;913.462545;FALSE
4153.62;4334.43;4098.91;4208.47;699.989065;4208.6;4394.59;4040.8;4163.72;879.630319;4159.72;4165.38;3760;3944.69;913.462545;3944;3993;3165.13;3189.02;1665.021543;TRUE
4208.6;4394.59;4040.8;4163.72;879.630319;4159.72;4165.38;3760;3944.69;913.462545;3944;3993;3165.13;3189.02;1665.021543;3188.01;3856;2817;3700;1968.866492;TRUE
4159.72;4165.38;3760;3944.69;913.462545;3944;3993;3165.13;3189.02;1665.021543;3188.01;3856;2817;3700;1968.866492;3674.01;3950;3470.66;3714.95;1297.563953;TRUE
3944;3993;3165.13;3189.02;1665.021543;3188.01;3856;2817;3700;1968.866492;3674.01;3950;3470.66;3714.95;1297.563953;3685.23;3748.21;3499.02;3699.99;682.17121;TRUE
3188.01;3856;2817;3700;1968.866492;3674.01;3950;3470.66;3714.95;1297.563953;3685.23;3748.21;3499.02;3699.99;682.17121;3690;4123.2;3690;4035.01;1030.006455;FALSE
3674.01;3950;3470.66;3714.95;1297.563953;3685.23;3748.21;3499.02;3699.99;682.17121;3690;4123.2;3690;4035.01;1030.006455;4060;4089.97;3830.91;3910.04;902.332129;FALSE
3685.23;3748.21;3499.02;3699.99;682.17121;3690;4123.2;3690;4035.01;1030.006455;4060;4089.97;3830.91;3910.04;902.332129;3910.04;4046.08;3820;3900;720.935076;FALSE
3690;4123.2;3690;4035.01;1030.006455;4060;4089.97;3830.91;3910.04;902.332129;3910.04;4046.08;3820;3900;720.935076;3889.99;3910;3567;3609.99;1001.654084;TRUE
4060;4089.97;3830.91;3910.04;902.332129;3910.04;4046.08;3820;3900;720.935076;3889.99;3910;3567;3609.99;1001.654084;3592.84;3750;3505.55;3595.87;838.966425;TRUE
3910.04;4046.08;3820;3900;720.935076;3889.99;3910;3567;3609.99;1001.654084;3592.84;3750;3505.55;3595.87;838.966425;3595.88;3817.19;3542.91;3780;752.792791;FALSE
3889.99;3910;3567;3609.99;1001.654084;3592.84;3750;3505.55;3595.87;838.966425;3595.88;3817.19;3542.91;3780;752.792791;3779.54;3789.99;3622.76;3660.02;661.63639;TRUE
3592.84;3750;3505.55;3595.87;838.966425;3595.88;3817.19;3542.91;3780;752.792791;3779.54;3789.99;3622.76;3660.02;661.63639;3660.02;3979.87;3653.69;3920.75;727.994713;FALSE
