O1;H1;L1;C1;V1;O2;H2;L2;C2;V2;O3;H3;L3;C3;V3;O4;H4;L4;C4;V4;Final
4261.48;4745.42;3400;4724.89;10015.64027;4689.89;4939.19;2817;4378.51;27634.18912;4378.49;6498.01;4110;6463;41626.38846;6463;11300.03;5325.01;9838.96;108487.9781;TRUE
4689.89;4939.19;2817;4378.51;27634.18912;4378.49;6498.01;4110;6463;41626.38846;6463;11300.03;5325.01;9838.96;108487.9781;9837;19798.68;9380;13716.36;408476.6584;FALSE
4378.49;6498.01;4110;6463;41626.38846;6463;11300.03;5325.01;9838.96;108487.9781;9837;19798.68;9380;13716.36;408476.6584;13715.65;17176.24;9035;10285.1;816675.5645;TRUE
6463;11300.03;5325.01;9838.96;108487.9781;9837;19798.68;9380;13716.36;408476.6584;13715.65;17176.24;9035;10285.1;816675.5645;10285.1;11786.01;6000.01;10326.76;1243940.855;FALSE
9837;19798.68;9380;13716.36;408476.6584;13715.65;17176.24;9035;10285.1;816675.5645;10285.1;11786.01;6000.01;10326.76;1243940.855;10325.64;11710;6600.1;6923.91;1235326.314;TRUE
13715.65;17176.24;9035;10285.1;816675.5645;10285.1;11786.01;6000.01;10326.76;1243940.855;10325.64;11710;6600.1;6923.91;1235326.314;6922;9759.82;6430;9246.01;1110964.016;FALSE
10285.1;11786.01;6000.01;10326.76;1243940.855;10325.64;11710;6600.1;6923.91;1235326.314;6922;9759.82;6430;9246.01;1110964.016;9246.01;10020;7032.95;7485.01;914476.3779;FALSE
10325.64;11710;6600.1;6923.91;1235326.314;6922;9759.82;6430;9246.01;1110964.016;9246.01;10020;7032.95;7485.01;914476.3779;7485.01;7786.69;5750;6390.07;942249.7659;TRUE
6922;9759.82;6430;9246.01;1110964.016;9246.01;10020;7032.95;7485.01;914476.3779;7485.01;7786.69;5750;6390.07;942249.7659;6391.08;8491.77;6070;7730.93;1102510.437;FALSE
9246.01;10020;7032.95;7485.01;914476.3779;7485.01;7786.69;5750;6390.07;942249.7659;6391.08;8491.77;6070;7730.93;1102510.437;7735.67;7750;5880;7011.21;1408159.817;FALSE
7485.01;7786.69;5750;6390.07;942249.7659;6391.08;8491.77;6070;7730.93;1102510.437;7735.67;7750;5880;7011.21;1408159.817;7011.21;7410;6111;6626.57;1100653.423;FALSE
6391.08;8491.77;6070;7730.93;1102510.437;7735.67;7750;5880;7011.21;1408159.817;7011.21;7410;6111;6626.57;1100653.423;6626.57;7680;6205;6371.93;629922.0862;FALSE
7735.67;7750;5880;7011.21;1408159.817;7011.21;7410;6111;6626.57;1100653.423;6626.57;7680;6205;6371.93;629922.0862;6369.52;6615.15;3652.66;4041.32;1210365.45;FALSE
7011.21;7410;6111;6626.57;1100653.423;6626.57;7680;6205;6371.93;629922.0862;6369.52;6615.15;3652.66;4041.32;1210365.45;4041.27;4312.99;3156.26;3702.9;1591229.147;FALSE
6626.57;7680;6205;6371.93;629922.0862;6369.52;6615.15;3652.66;4041.32;1210365.45;4041.27;4312.99;3156.26;3702.9;1591229.147;3701.23;4069.8;3349.92;3434.1;908244.1405;TRUE
6369.52;6615.15;3652.66;4041.32;1210365.45;4041.27;4312.99;3156.26;3702.9;1591229.147;3701.23;4069.8;3349.92;3434.1;908244.1405;3434.1;4198;3373.1;3813.69;861783.9867;TRUE
4041.27;4312.99;3156.26;3702.9;1591229.147;3701.23;4069.8;3349.92;3434.1;908244.1405;3434.1;4198;3373.1;3813.69;861783.9867;3814.26;4140;3670.69;4103.95;787190.4893;TRUE
3701.23;4069.8;3349.92;3434.1;908244.1405;3434.1;4198;3373.1;3813.69;861783.9867;3814.26;4140;3670.69;4103.95;787190.4893;4102.44;5600;4067;5320.81;1126961.315;TRUE
3434.1;4198;3373.1;3813.69;861783.9867;3814.26;4140;3670.69;4103.95;787190.4893;4102.44;5600;4067;5320.81;1126961.315;5321.94;9074.26;5316.2;8555;1498409.89;TRUE
3814.26;4140;3670.69;4103.95;787190.4893;4102.44;5600;4067;5320.81;1126961.315;5321.94;9074.26;5316.2;8555;1498409.89;8555;13970;7444.58;10854.1;1689489.647;FALSE
4102.44;5600;4067;5320.81;1126961.315;5321.94;9074.26;5316.2;8555;1498409.89;8555;13970;7444.58;10854.1;1689489.647;10854.1;13147.08;9060;10080.53;1886176.066;FALSE
5321.94;9074.26;5316.2;8555;1498409.89;8555;13970;7444.58;10854.1;1689489.647;10854.1;13147.08;9060;10080.53;1886176.066;10080.53;12330.7;9320;9587.47;1201961.576;FALSE
8555;13970;7444.58;10854.1;1689489.647;10854.1;13147.08;9060;10080.53;1886176.066;10080.53;12330.7;9320;9587.47;1201961.576;9588.74;10905.87;7710;8289.34;1116856.476;TRUE
10854.1;13147.08;9060;10080.53;1886176.066;10080.53;12330.7;9320;9587.47;1201961.576;9588.74;10905.87;7710;8289.34;1116856.476;8289.97;10370;7300;9140.85;1446755.855;FALSE
10080.53;12330.7;9320;9587.47;1201961.576;9588.74;10905.87;7710;8289.34;1116856.476;8289.97;10370;7300;9140.85;1446755.855;9140.86;9513.68;6515;7541.89;1499118.775;FALSE
9588.74;10905.87;7710;8289.34;1116856.476;8289.97;10370;7300;9140.85;1446755.855;9140.86;9513.68;6515;7541.89;1499118.775;7540.63;7750;6435;7195.23;1307026.468;TRUE
8289.97;10370;7300;9140.85;1446755.855;9140.86;9513.68;6515;7541.89;1499118.775;7540.63;7750;6435;7195.23;1307026.468;7195.24;9578;6871.04;9352.89;1691323.138;FALSE
9140.86;9513.68;6515;7541.89;1499118.775;7540.63;7750;6435;7195.23;1307026.468;7195.24;9578;6871.04;9352.89;1691323.138;9351.71;10500;8445;8523.61;1609726.155;FALSE
7540.63;7750;6435;7195.23;1307026.468;7195.24;9578;6871.04;9352.89;1691323.138;9351.71;10500;8445;8523.61;1609726.155;8523.61;9188;3782.13;6410.44;3789768.913;TRUE
7195.24;9578;6871.04;9352.89;1691323.138;9351.71;10500;8445;8523.61;1609726.155;8523.61;9188;3782.13;6410.44;3789768.913;6412.14;9460;6150.11;8620;2528373.691;TRUE
9351.71;10500;8445;8523.61;1609726.155;8523.61;9188;3782.13;6410.44;3789768.913;6412.14;9460;6150.11;8620;2528373.691;8620;10067;8117;9448.27;2685340.079;FALSE
8523.61;9188;3782.13;6410.44;3789768.913;6412.14;9460;6150.11;8620;2528373.691;8620;10067;8117;9448.27;2685340.079;9448.27;10380;8833;9138.55;1504745.518;TRUE
6412.14;9460;6150.11;8620;2528373.691;8620;10067;8117;9448.27;2685340.079;9448.27;10380;8833;9138.55;1504745.518;9138.08;11444;8893.03;11335.46;1507827.215;TRUE
8620;10067;8117;9448.27;2685340.079;9448.27;10380;8833;9138.55;1504745.518;9138.08;11444;8893.03;11335.46;1507827.215;11335.46;12468;10518.5;11649.51;1891193.007;FALSE
9448.27;10380;8833;9138.55;1504745.518;9138.08;11444;8893.03;11335.46;1507827.215;11335.46;12468;10518.5;11649.51;1891193.007;11649.51;12050.85;9825;10776.59;1730389.16;TRUE
9138.08;11444;8893.03;11335.46;1507827.215;11335.46;12468;10518.5;11649.51;1891193.007;11649.51;12050.85;9825;10776.59;1730389.16;10776.59;14100;10374;13791;1592619.954;TRUE
11335.46;12468;10518.5;11649.51;1891193.007;11649.51;12050.85;9825;10776.59;1730389.16;10776.59;14100;10374;13791;1592619.954;13791;19863.16;13195.05;19695.87;2707064.911;TRUE
11649.51;12050.85;9825;10776.59;1730389.16;10776.59;14100;10374;13791;1592619.954;13791;19863.16;13195.05;19695.87;2707064.911;19695.87;29300;17572.33;28923.63;2495281.856;TRUE
10776.59;14100;10374;13791;1592619.954;13791;19863.16;13195.05;19695.87;2707064.911;19695.87;29300;17572.33;28923.63;2495281.856;28923.63;41950;28130;33092.98;3435639.258;TRUE
13791;19863.16;13195.05;19695.87;2707064.911;19695.87;29300;17572.33;28923.63;2495281.856;28923.63;41950;28130;33092.98;3435639.258;33092.97;58352.8;32296.16;45135.66;2518242.149;TRUE
19695.87;29300;17572.33;28923.63;2495281.856;28923.63;41950;28130;33092.98;3435639.258;33092.97;58352.8;32296.16;45135.66;2518242.149;45134.11;61844;44950.53;58740.55;2098808.027;FALSE
28923.63;41950;28130;33092.98;3435639.258;33092.97;58352.8;32296.16;45135.66;2518242.149;45134.11;61844;44950.53;58740.55;2098808.027;58739.46;64854;46930;57694.27;1993468.938;FALSE
33092.97;58352.8;32296.16;45135.66;2518242.149;45134.11;61844;44950.53;58740.55;2098808.027;58739.46;64854;46930;57694.27;1993468.938;57697.25;59500;30000;37253.81;3536245.257;FALSE
45134.11;61844;44950.53;58740.55;2098808.027;58739.46;64854;46930;57694.27;1993468.938;57697.25;59500;30000;37253.81;3536245.257;37253.82;41330;28805;35045;2901775.306;TRUE
58739.46;64854;46930;57694.27;1993468.938;57697.25;59500;30000;37253.81;3536245.257;37253.82;41330;28805;35045;2901775.306;35045;42448;29278;41461.83;1778463.265;TRUE
57697.25;59500;30000;37253.81;3536245.257;37253.82;41330;28805;35045;2901775.306;35045;42448;29278;41461.83;1778463.265;41461.84;50500;37332.7;47100.89;1635402.874;FALSE
37253.82;41330;28805;35045;2901775.306;35045;42448;29278;41461.83;1778463.265;41461.84;50500;37332.7;47100.89;1635402.874;47100.89;52920;39600;43824.1;1527799.511;TRUE
35045;42448;29278;41461.83;1778463.265;41461.84;50500;37332.7;47100.89;1635402.874;47100.89;52920;39600;43824.1;1527799.511;43820.01;67000;43283.03;61299.8;1565556.293;FALSE
41461.84;50500;37332.7;47100.89;1635402.874;47100.89;52920;39600;43824.1;1527799.511;43820.01;67000;43283.03;61299.8;1565556.293;61299.81;69000;53256.64;56950.56;1291900.105;FALSE
47100.89;52920;39600;43824.1;1527799.511;43820.01;67000;43283.03;61299.8;1565556.293;61299.81;69000;53256.64;56950.56;1291900.105;56950.56;59053.55;42000.3;46216.93;1233709.998;FALSE
43820.01;67000;43283.03;61299.8;1565556.293;61299.81;69000;53256.64;56950.56;1291900.105;56950.56;59053.55;42000.3;46216.93;1233709.998;46216.93;47990;32917.17;38466.9;1279407.466;TRUE
