O,C,DIR
0.1717,0.1719,TRUE
0.1719,0.1722,TRUE
0.1722,0.1724,TRUE
0.1724,0.1723,FALSE
0.1723,0.1719,FALSE
0.172,0.172,FALSE
0.172,0.1719,FALSE
0.1718,0.1718,FALSE
0.1718,0.1717,FALSE
0.1717,0.1717,FALSE
0.1717,0.1715,FALSE
0.1714,0.1717,TRUE
0.1717,0.1714,FALSE
0.1715,0.1703,FALSE
0.1704,0.1709,TRUE
0.1709,0.1706,FALSE
0.1707,0.1702,FALSE
0.1702,0.1702,FALSE
0.1702,0.172,TRUE
0.172,0.1718,FALSE
0.1718,0.1717,FALSE
0.1717,0.1721,TRUE
0.172,0.1716,FALSE
0.1715,0.1715,FALSE
0.1715,0.1711,FALSE
0.1711,0.171,FALSE
0.171,0.171,FALSE
0.1709,0.1716,TRUE
0.1716,0.1713,FALSE
0.1713,0.1712,FALSE
0.1713,0.1718,TRUE
0.1718,0.1717,FALSE
0.1717,0.1717,FALSE
0.1716,0.1719,TRUE
0.1719,0.1716,FALSE
0.1716,0.1708,FALSE
0.1709,0.1712,TRUE
0.1712,0.1715,TRUE
0.1715,0.1706,FALSE
0.1707,0.171,TRUE
0.171,0.1707,FALSE
0.1706,0.171,TRUE
0.171,0.1712,TRUE
0.1711,0.171,FALSE
0.171,0.1705,FALSE
0.1705,0.171,TRUE
0.171,0.1708,FALSE
0.1709,0.1712,TRUE
0.1712,0.1714,TRUE
0.1713,0.1713,FALSE
0.1713,0.1713,FALSE
0.1713,0.1712,FALSE
0.1712,0.171,FALSE
0.1711,0.1713,TRUE
0.1712,0.1713,TRUE
0.1713,0.1711,FALSE
0.171,0.1714,TRUE
0.1713,0.1717,TRUE
0.1717,0.1723,TRUE
0.1723,0.1726,TRUE
0.1725,0.1721,FALSE
0.1721,0.1726,TRUE
0.1727,0.1726,FALSE
0.1727,0.1724,FALSE
0.1723,0.1719,FALSE
0.1718,0.172,TRUE
0.172,0.1724,TRUE
0.1723,0.1734,TRUE
0.1735,0.1731,FALSE
0.1732,0.1729,FALSE
0.1728,0.1727,FALSE
0.1727,0.1724,FALSE
0.1725,0.1731,TRUE
0.1731,0.1727,FALSE
0.1728,0.1725,FALSE
0.1726,0.1724,FALSE
0.1725,0.1725,FALSE
0.1725,0.1727,TRUE
0.1727,0.1727,FALSE
0.1727,0.1726,FALSE
