V1,HLV1,VO1,V2,HLV2,VO2,V3,HLV3,VO3,V4,HLV4,VO4,V5,HLV5,VO5,V6,HLV6,VO6,V7,HLV7,VO7,V8,HLV8,VO8,V9,HLV9,VO9,V10,HLV10,VO10,V11,HLV11,VO11,V12,HLV12,VO12,UP?
10.79,25.22,45673.71,1.79,18.64,69423.62,-0.98,25.26,72526.28,-1.54,19.83,78222.54,-18.88,57.63,154630.49,0.82,13.86,79001.06,2.76,18.48,95431.94,8.42,24.00,78544.84,5.17,5.25,60052.48,-1.35,10.51,51339.28,-4.32,15.34,72679.61,3.45,7.81,64028.13,FALSE
1.79,18.64,69423.62,-0.98,25.26,72526.28,-1.54,19.83,78222.54,-18.88,57.63,154630.49,0.82,13.86,79001.06,2.76,18.48,95431.94,8.42,24.00,78544.84,5.17,5.25,60052.48,-1.35,10.51,51339.28,-4.32,15.34,72679.61,3.45,7.81,64028.13,-7.07,15.60,89880.00,TRUE
-0.98,25.26,72526.28,-1.54,19.83,78222.54,-18.88,57.63,154630.49,0.82,13.86,79001.06,2.76,18.48,95431.94,8.42,24.00,78544.84,5.17,5.25,60052.48,-1.35,10.51,51339.28,-4.32,15.34,72679.61,3.45,7.81,64028.13,-7.07,15.60,89880.00,7.94,9.98,62628.24,TRUE
-1.54,19.83,78222.54,-18.88,57.63,154630.49,0.82,13.86,79001.06,2.76,18.48,95431.94,8.42,24.00,78544.84,5.17,5.25,60052.48,-1.35,10.51,51339.28,-4.32,15.34,72679.61,3.45,7.81,64028.13,-7.07,15.60,89880.00,7.94,9.98,62628.24,3.00,6.52,53909.26,TRUE
-18.88,57.63,154630.49,0.82,13.86,79001.06,2.76,18.48,95431.94,8.42,24.00,78544.84,5.17,5.25,60052.48,-1.35,10.51,51339.28,-4.32,15.34,72679.61,3.45,7.81,64028.13,-7.07,15.60,89880.00,7.94,9.98,62628.24,3.00,6.52,53909.26,13.28,20.08,113257.78,TRUE
0.82,13.86,79001.06,2.76,18.48,95431.94,8.42,24.00,78544.84,5.17,5.25,60052.48,-1.35,10.51,51339.28,-4.32,15.34,72679.61,3.45,7.81,64028.13,-7.07,15.60,89880.00,7.94,9.98,62628.24,3.00,6.52,53909.26,13.28,20.08,113257.78,9.23,17.29,89041.46,TRUE
2.76,18.48,95431.94,8.42,24.00,78544.84,5.17,5.25,60052.48,-1.35,10.51,51339.28,-4.32,15.34,72679.61,3.45,7.81,64028.13,-7.07,15.60,89880.00,7.94,9.98,62628.24,3.00,6.52,53909.26,13.28,20.08,113257.78,9.23,17.29,89041.46,0.64,13.45,102894.47,TRUE
8.42,24.00,78544.84,5.17,5.25,60052.48,-1.35,10.51,51339.28,-4.32,15.34,72679.61,3.45,7.81,64028.13,-7.07,15.60,89880.00,7.94,9.98,62628.24,3.00,6.52,53909.26,13.28,20.08,113257.78,9.23,17.29,89041.46,0.64,13.45,102894.47,2.05,12.37,97374.02,TRUE
5.17,5.25,60052.48,-1.35,10.51,51339.28,-4.32,15.34,72679.61,3.45,7.81,64028.13,-7.07,15.60,89880.00,7.94,9.98,62628.24,3.00,6.52,53909.26,13.28,20.08,113257.78,9.23,17.29,89041.46,0.64,13.45,102894.47,2.05,12.37,97374.02,4.81,7.11,71954.28,TRUE
-1.35,10.51,51339.28,-4.32,15.34,72679.61,3.45,7.81,64028.13,-7.07,15.60,89880.00,7.94,9.98,62628.24,3.00,6.52,53909.26,13.28,20.08,113257.78,9.23,17.29,89041.46,0.64,13.45,102894.47,2.05,12.37,97374.02,4.81,7.11,71954.28,11.89,12.51,65278.82,TRUE
